Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 habitants,Lits d hopitaux pour 1000 habitants,Taux deces 2 ans,Chomage,Depenses t-1
9.151,83.3,0.1811493972437563,3.8,2.97,1.751,24.5,9.137
9.176,84.3,0.1844799311898693,3.85,2.97,1.785,22.1,9.151
9.013,84.9,0.1866525485619172,3.83,2.97,1.789,19.6,9.176
9.022,84.8,0.1889202476362492,3.88,2.98,1.822,17.2,9.013
9.071,84.7,0.1911982123727116,4.02,2.97,1.804,15.3,9.022
9.215,84.0,0.1930333651321403,4.41,2.95,1.936,14.1,9.071
10.795,78.2,0.1946707017723681,4.58,2.95,1.99,15.5,9.215
10.344,78.4,0.1964415029468491,4.48,2.96,1.922,14.9,10.795
9.68,79.7,0.1996723176564928,4.3,2.94,1.886,13.0,10.344
9.221,80.7,0.2014703809751995,4.39,2.88,,12.2,9.68
5.294,37.8,0.1656842182728042,3.14,5.38,2.549,8.0,5.336
4.973,43.1,0.1687051158658473,3.18,5.55,2.571,5.9,5.294
5.184,49.5,0.1728397819676526,3.26,5.48,2.538,4.6,4.973
5.957,48.9,0.1745763724933505,3.34,5.63,2.447,5.5,5.184
6.844,43.7,0.1742929013131298,3.28,5.37,2.386,13.5,5.957
6.594,44.1,0.1743431661529,3.24,5.27,2.328,16.7,6.844
6.055,48.7,0.1744957357519968,3.29,5.36,2.308,12.3,6.594
6.038,52.5,0.1770419486016253,3.28,5.53,2.316,9.9,6.055
6.198,55.3,0.1803194124410873,3.33,5.01,2.328,8.6,6.038
6.263,57.7,0.1837509566285332,3.36,5.01,2.335,7.3,6.198
6.521,57.6,0.1875843239255592,3.41,4.96,2.33,6.4,6.263
6.569,59.2,0.1902246600159277,3.46,4.76,2.351,6.8,6.521
6.466,62.3,0.1934229478540781,3.47,4.69,2.379,5.8,6.569
6.563,65.4,0.1958725920737333,3.48,4.57,2.362,5.4,6.466
6.648,67.8,0.197647982367416,3.47,4.63,2.356,4.5,6.563
7.472,68.7,0.2003708118130049,3.48,4.57,2.588,6.9,6.648
7.476,71.1,0.2034790702430252,3.43,4.48,2.699,6.2,7.472
6.936,75.4,0.2043451099117282,3.47,4.39,2.502,5.6,7.476
7.471,73.2,0.202398593145538,3.48,4.17,,6.4,6.936
8.289,142.0,0.1586789624052656,2.85,7.05,1.833,8.4,8.06
8.286,140.7,0.1600517925709437,2.87,6.99,1.848,7.7,8.289
8.084,143.3,0.1646246746466475,3.0,6.73,1.86,6.9,8.286
8.344,144.0,0.1651228453854403,3.07,6.57,1.867,6.4,8.084
9.162,140.5,0.1674831787986964,3.13,6.25,1.892,8.2,8.344
9.142,139.8,0.1701305091146716,3.18,5.85,1.896,8.4,9.162
9.239,141.8,0.1750684057897678,3.26,5.52,1.903,7.8,9.142
9.617,142.5,0.1813722595087412,3.26,5.3,1.91,7.9,9.239
9.845,142.5,0.1876274491520957,3.33,4.87,1.91,8.3,9.617
9.831,140.4,0.1938166702438147,3.38,4.53,1.92,8.7,9.845
9.7,138.0,0.1994585647415006,3.41,4.35,1.945,9.4,9.831
9.456,137.8,0.2046728559796534,3.42,3.97,1.962,8.9,9.7
9.191,137.6,0.2089611009545732,3.47,3.28,1.967,8.7,9.456
9.103,137.2,0.2139107911476784,3.49,3.21,1.968,7.5,9.191
9.223,136.3,0.2183498887895962,3.57,3.3,1.983,6.8,9.103
9.7,140.1,0.2228432452076741,3.61,2.83,2.048,7.7,9.223
9.91,135.0,0.2269578930762318,3.5,2.76,2.184,7.7,9.7
9.742,132.5,0.2305300004091387,,,2.245,6.8,9.91
10.474,127.5,0.2326595937792619,,,,7.2,9.742
10.237,126.6,0.1630931802226025,3.34,7.22,1.697,8.9,10.212
10.398,124.8,0.1635523912165553,3.33,7.11,1.674,8.8,10.237
10.334,123.1,0.163243073127508,3.31,7.06,1.687,8.0,10.398
10.513,122.2,0.1638660048722962,3.31,6.9,1.705,7.4,10.334
11.291,124.0,0.1649578977391626,3.27,6.66,1.709,9.1,10.513
11.224,122.8,0.1660920972681608,3.27,6.43,1.696,9.3,11.291
11.176,122.5,0.1673862894285038,3.06,6.36,1.716,9.2,11.224
11.337,123.0,0.1713932918744115,3.07,6.34,1.745,9.8,11.176
11.478,123.0,0.1756759681922429,3.08,6.27,1.721,10.3,11.337
11.579,121.5,0.1796300606444581,3.09,6.2,1.743,10.3,11.478
11.5,119.4,0.184089633065788,3.11,6.13,1.787,10.3,11.579
11.57,117.7,0.1885813089334645,3.12,6.06,1.801,10.1,11.5
11.449,115.6,0.1929025968279871,3.14,5.98,1.82,9.4,11.57
11.308,114.5,0.1965427591445402,3.14,5.89,1.825,9.0,11.449
11.171,113.9,0.2000985399552338,3.16,5.83,1.906,8.4,11.308
12.129,112.3,0.2037363592493313,3.17,5.72,1.972,8.0,11.171
12.249,111.0,0.2062662981446766,3.18,,1.974,7.9,12.129
11.835,107.7,0.2086942516329779,3.19,,1.931,7.3,12.249
11.503,107.7,0.2112970198987334,,,,7.3,11.835
8.761,80.2,0.1828291785749968,5.06,4.78,1.919,10.0,8.3
8.396,83.4,0.184548787992348,5.41,4.87,1.957,9.0,8.761
8.523,84.1,0.1858613186942235,5.63,4.88,1.974,8.4,8.396
8.948,84.9,0.1866335555477804,5.71,4.84,1.955,7.8,8.523
9.536,87.1,0.1877314890968652,5.79,4.93,1.959,9.6,8.948
9.62,80.1,0.189768968141758,5.76,4.48,1.98,12.7,9.536
9.186,70.8,0.1929009604264598,5.78,4.47,2.048,17.9,9.62
9.043,64.8,0.1966787974389536,5.78,4.45,2.061,24.8,9.186
8.522,61.9,0.2006391535872529,5.81,4.24,2.05,27.8,9.043
7.944,60.2,0.2048656117015703,5.87,4.24,2.15,26.6,8.522
8.267,58.3,0.2089767211658702,5.9,4.25,2.21,25.0,7.944
8.451,56.8,0.2126211591739718,6.12,4.2,2.256,23.9,8.267
8.113,55.6,0.2154252807318739,6.07,4.21,2.273,21.8,8.451
8.073,54.9,0.2178685459165742,6.1,4.2,2.283,19.7,8.113
8.117,54.5,0.2203600339742307,6.16,4.18,2.387,17.9,8.073
9.381,51.3,0.2226230843401145,6.19,4.23,2.565,17.6,8.117
9.032,52.2,0.2254835638122936,6.37,4.27,2.658,14.7,9.381
8.449,54.1,0.227671087871896,6.56,4.26,2.553,12.5,9.032
8.394,55.5,0.2301800598464641,6.61,4.24,2.43,11.1,8.449
7.992,40.8,0.156235835052645,2.78,7.89,2.648,7.2,7.766
7.786,39.2,0.1578622749124926,3.04,7.93,2.625,7.5,7.992
7.207,41.2,0.1594568652707418,2.8,7.15,2.612,7.4,7.786
7.093,42.5,0.1616555675577311,3.09,7.07,2.593,7.8,7.207
7.237,38.9,0.1635212927955657,3.02,7.09,2.601,10.0,7.093
7.464,39.7,0.1661103635153007,2.87,7.12,2.589,11.2,7.237
7.493,39.5,0.1673524458221449,2.96,7.15,2.586,11.0,7.464
7.43,38.8,0.1687400982186233,3.09,6.94,2.579,10.7,7.493
7.236,39.4,0.1715394760112175,3.22,7.01,2.556,9.8,7.43
7.042,40.3,0.1749531000179996,3.33,6.99,2.618,7.5,7.236
6.85,41.4,0.178425462145031,3.11,7.0,2.635,6.6,7.042
6.968,41.9,0.1819223219803731,3.23,7.0,2.648,5.0,6.85
6.733,44.1,0.1856813708866568,3.35,7.02,2.702,4.0,6.968
6.555,45.9,0.1883700831458395,3.41,7.02,2.688,3.6,6.733
6.247,48.0,0.192310483664788,3.52,6.99,2.796,3.3,6.555
7.231,47.1,0.197682699071643,3.17,6.98,3.07,4.1,6.247
7.335,48.4,0.202040292138154,3.33,6.92,3.035,4.0,7.231
6.647,48.6,0.2043449166491769,3.48,6.82,2.764,3.6,7.335
6.369,53.6,0.2053733932904878,4.37,6.62,,4.1,6.647
7.642,185.2,0.1110455795112062,,5.52,1.38,4.6,7.22
7.516,185.7,0.1096663241571843,,5.34,1.345,4.8,7.642
7.808,181.5,0.1080288600448191,,5.17,1.299,5.0,7.516
9.126,164.0,0.1077643168717956,,4.89,1.271,6.8,7.808
10.523,154.2,0.109439893907136,,2.83,1.246,12.6,9.126
10.521,146.2,0.1121714641928612,,2.73,1.24,14.6,10.523
10.489,146.1,0.1152655253987142,2.67,2.63,1.261,15.4,10.521
10.475,147.9,0.118867048410788,2.71,2.55,1.279,15.5,10.489
10.033,150.8,0.1223646513205948,2.68,2.57,1.275,13.8,10.475
9.231,160.6,0.1259721095024162,3.02,2.59,1.28,11.9,10.033
7.078,208.6,0.1293093699005927,3.14,2.94,1.3,9.9,9.231
7.338,203.8,0.1321373695963384,3.21,2.98,1.29,8.4,7.078
6.917,215.7,0.1349824562938866,3.26,2.98,1.281,6.7,7.338
6.747,223.6,0.1382262986865217,3.29,2.98,1.279,5.8,6.917
6.619,231.0,0.1408263568832003,3.31,2.88,1.282,5.0,6.747
6.973,248.5,0.1439165303435343,3.44,2.88,1.33,5.9,6.619
6.441,264.8,0.146870478614804,4.0,2.87,1.368,6.2,6.973
6.021,277.1,0.1500167724784679,3.33,2.91,1.358,4.5,6.441
6.575,258.2,0.1518601812233764,3.82,2.92,,4.3,6.021
8.309,116.6,0.1949990048991489,3.71,4.03,1.939,7.7,8.137
8.398,114.5,0.1982629963295302,3.71,3.98,1.936,6.8,8.309
8.102,111.8,0.2005708867904132,3.77,3.89,1.976,6.1,8.398
8.502,109.3,0.2015298727738146,3.76,3.77,1.994,6.7,8.102
8.913,109.8,0.2024932198588664,3.76,3.66,1.984,7.8,8.502
8.879,107.8,0.2036140669786369,3.78,3.61,1.978,8.4,8.913
8.729,106.7,0.2044174018241025,3.86,3.48,2.012,8.4,8.879
8.798,104.4,0.2082882699720498,3.83,3.38,2.019,10.9,8.729
8.79,102.4,0.2113806208568468,3.9,3.31,1.989,12.4,8.798
8.859,101.0,0.2150777823129277,3.91,3.24,2.065,12.9,8.79
8.846,99.3,0.2186193274101381,3.87,3.22,2.094,12.0,8.859
8.72,99.5,0.2214155602633029,3.99,3.2,2.101,11.7,8.846
8.691,98.0,0.2241164801801943,4.03,3.21,2.135,11.3,8.72
8.655,96.9,0.2263205358878139,4.01,3.17,2.115,10.6,8.691
8.615,95.3,0.2289197027056319,4.05,3.16,2.298,9.9,8.655
9.564,92.1,0.2323733103372605,4.0,3.18,2.417,9.3,8.615
9.282,93.7,0.235354866456436,4.1,3.12,2.391,9.5,9.564
8.85,93.7,0.2380378170586199,4.23,3.09,2.348,8.1,9.282
8.406,94.7,0.2403723695298697,,3.04,,7.7,8.85
6.082,26.7,0.1663932998003311,2.96,7.9,2.928,10.0,6.475
6.021,31.8,0.1700006373789541,3.03,7.85,2.969,7.0,6.082
5.818,39.8,0.1739456004056428,3.14,7.83,2.9,6.1,6.021
5.866,42.2,0.1759618762575223,3.23,7.77,2.779,7.7,5.818
6.268,35.5,0.1782249585497546,3.15,6.74,2.771,17.5,5.866
6.224,33.4,0.1811724948408492,3.11,5.68,2.763,19.5,6.268
5.918,35.7,0.1837169003256041,3.13,5.88,2.775,16.2,6.224
5.621,40.3,0.1856140390343763,3.14,5.89,2.823,15.1,5.918
5.604,41.6,0.1876565414499771,3.19,5.8,2.824,11.9,5.621
5.664,42.6,0.1906675500182866,3.22,5.66,2.845,10.9,5.604
5.849,43.2,0.1938858947402341,3.2,5.69,2.873,9.9,5.664
6.352,43.9,0.1963399911729916,3.21,5.72,2.912,9.7,5.849
6.187,45.2,0.1989158593642635,3.21,5.57,2.952,8.7,6.352
6.409,47.7,0.20102368770546,3.3,5.49,2.923,7.4,6.187
6.863,48.8,0.2025966057767629,3.27,5.42,2.947,6.3,6.409
7.506,50.4,0.2051780308490702,3.34,5.29,3.326,8.1,6.863
9.411,51.5,0.2079512027901626,3.36,5.16,3.451,7.6,7.506
8.104,52.9,0.2087813080265727,3.4,5.03,3.133,6.9,9.411
7.278,54.8,0.2097272024335531,3.36,,,6.5,8.104
5.646,28.6,0.1582972204505219,3.72,7.28,2.641,8.3,5.483
5.857,31.5,0.1629075622333643,3.79,7.16,2.749,5.8,5.646
5.76,36.4,0.1664854862317741,3.88,7.19,2.753,4.3,5.857
6.29,40.2,0.1699359242732922,3.88,7.18,2.673,5.8,5.76
7.345,35.2,0.1720395017865129,3.85,7.18,2.643,13.8,6.29
6.906,35.6,0.173424621957647,3.95,7.16,2.647,17.8,7.345
6.54,39.6,0.1786376019299034,4.1,7.43,2.685,15.4,6.906
6.308,42.8,0.1808914580670593,4.22,7.44,2.745,13.4,6.54
