Country,Year,Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 hab,Lits pour 1000 hab,Taux deces 2 ans,Chomage,Depenses t-1
Autriche,2012,10.302,144.6,0.1779656834148795,4.87,7.67,1.891,5.2,10.137
Autriche,2013,10.406,144.3,0.1807006978345595,4.96,7.64,1.867,5.7,10.302
Autriche,2014,10.512,143.9,0.1829686360235201,5.02,7.58,1.896,6.0,10.406
Autriche,2015,10.517,142.6,0.1845010661711004,5.06,7.54,1.907,6.1,10.512
Autriche,2016,10.517,142.8,0.1844689787483919,5.11,7.42,1.884,6.5,10.517
Autriche,2017,10.571,140.8,0.1852891843200596,5.16,7.37,1.906,5.9,10.517
Autriche,2018,10.516,141.5,0.1866858030934679,5.22,7.27,1.897,5.2,10.571
Autriche,2019,10.625,140.6,0.1883509853224627,5.29,7.19,1.975,4.8,10.516
Autriche,2020,11.413,139.8,0.1902724213644571,5.32,7.05,2.062,6.0,10.625
Autriche,2021,12.185,136.4,0.1921360749715874,5.41,6.91,2.074,6.2,11.413
Autriche,2022,11.225,137.4,0.1944207377071363,5.45,6.72,2.039,4.8,12.185
Autriche,2023,11.153,136.4,0.1955790875378318,4.99,7.609999999999999,1.958,5.1,11.225
Belgique,2005,9.25,133.8,0.1722693371493297,2.87,6.02,1.961,8.5,9.355
Belgique,2006,9.133,132.2,0.1721007760920495,2.89,5.98,1.924,8.3,9.25
Belgique,2007,9.139,131.0,0.1710100794234304,2.91,5.93,1.939,7.5,9.133
Belgique,2008,9.6,129.3,0.1705961244849237,2.92,5.89,1.954,7.0,9.139
Belgique,2009,10.544,132.9,0.1708141295331198,2.92,5.83,1.944,7.9,9.6
Belgique,2010,10.413,132.8,0.1716028876636834,2.91,5.75,1.932,8.3,10.544
Belgique,2011,10.413,132.6,0.1711884347071506,2.92,5.69,1.94,7.2,10.413
Belgique,2012,10.587,134.4,0.1737773825649571,2.93,5.64,1.972,7.6,10.413
Belgique,2013,10.638,134.7,0.17592589101034,2.96,5.61,1.922,8.6,10.587
Belgique,2014,10.62,134.6,0.1783564562233249,2.98,5.63,1.926,8.7,10.638
Belgique,2015,10.884,132.6,0.1807328004994806,3.02,5.69,1.946,8.7,10.62
Belgique,2016,10.898,132.7,0.182378274400309,3.07,5.64,1.925,7.9,10.884
Belgique,2017,10.94,131.5,0.1845748228441364,3.08,5.55,1.941,7.2,10.898
Belgique,2018,10.994,131.2,0.1869226971864676,3.13,5.52,1.925,6.0,10.94
Belgique,2019,10.858,131.7,0.1890319417217151,3.16,5.47,2.057,5.5,10.994
Belgique,2020,11.463,131.7,0.191334647869722,3.21,5.44,2.076,5.8,10.858
Belgique,2021,11.288,131.3,0.1929401086149119,3.25,5.41,1.98,6.3,11.463
Belgique,2022,10.74,133.0,0.1953482222654324,3.26,5.35,1.96,5.6,11.288
Belgique,2023,10.804,133.2,0.1967919735640473,3.0,5.3,1.9425,5.5,10.74
Danemark,2005,9.067,178.1,0.1501464037528147,3.33,3.86,2.041,4.8,8.986
Danemark,2006,9.153,178.2,0.1516413113392473,3.42,3.79,2.047,3.9,9.067
Danemark,2007,9.302,173.6,0.1532462139375857,3.46,3.69,2.023,3.8,9.153
Danemark,2008,9.468,174.0,0.155784068456959,3.58,3.57,1.999,3.7,9.302
Danemark,2009,10.629,173.6,0.1588503644503054,3.65,3.49,1.982,6.4,9.468
Danemark,2010,10.579,174.9,0.1631258787678839,3.73,3.5,1.931,7.7,10.629
Danemark,2011,10.378,172.1,0.1679272556984571,3.79,3.13,1.885,7.8,10.579
Danemark,2012,10.517,175.1,0.1734757144321421,3.84,2.88,1.878,7.8,10.378
Danemark,2013,10.279,176.1,0.1784521478134904,3.85,3.07,1.853,7.4,10.517
Danemark,2014,10.297,175.3,0.1824579922466362,3.88,2.69,1.846,6.9,10.279
Danemark,2015,10.359,172.3,0.1857211891411493,3.93,2.53,1.862,6.3,10.297
Danemark,2016,10.268,172.9,0.1882556067711057,4.0,2.6,1.859,6.0,10.359
Danemark,2017,10.114,172.2,0.1905054803906715,4.11,2.61,1.887,5.8,10.268
Danemark,2018,10.142,169.6,0.1930507386887475,4.2,2.61,1.889,5.1,10.114
Danemark,2019,10.185,167.3,0.195667783484247,4.25,2.59,1.871,5.0,10.142
Danemark,2020,10.692,175.5,0.1985296327533853,4.38,2.59,1.92,5.6,10.185
Danemark,2021,10.656,176.3,0.2014148863578962,4.5,2.51,1.996,5.1,10.692
Danemark,2022,9.474,178.3,0.2034957486438906,3.85,2.88,2.006,4.5,10.656
Danemark,2023,9.513,163.9,0.2045170677406773,3.85,2.88,1.9045,5.1,9.474
Espagne,2005,7.778,96.2,0.165600240833301,3.55,3.34,1.743,9.2,7.684
Espagne,2006,7.871,97.1,0.166420196005128,3.62,3.29,1.71,8.5,7.778
Espagne,2007,7.962,96.5,0.1653950260564632,3.56,3.25,1.714,8.2,7.871
Espagne,2008,8.429,95.3,0.1643632228898508,3.54,3.2,1.68,11.3,7.962
Espagne,2009,9.153,95.5,0.1656160986787141,3.6,3.16,1.651,17.9,8.429
Espagne,2010,9.17,92.2,0.1680139396672406,3.76,3.12,1.648,19.9,9.153
Espagne,2011,9.217,88.4,0.1710623188796476,3.84,3.05,1.687,21.4,9.17
Espagne,2012,9.219,85.3,0.1736085048429544,3.82,2.99,1.687,24.8,9.217
Espagne,2013,9.137,83.9,0.1766742413457597,3.81,2.96,1.675,26.1,9.219
Espagne,2014,9.151,83.3,0.1811493972437563,3.8,2.97,1.751,24.5,9.137
Espagne,2015,9.176,84.3,0.1844799311898693,3.85,2.97,1.785,22.1,9.151
Espagne,2016,9.013,84.9,0.1866525485619172,3.83,2.97,1.789,19.6,9.176
Espagne,2017,9.022,84.8,0.1889202476362492,3.88,2.98,1.822,17.2,9.013
Espagne,2018,9.071,84.7,0.1911982123727116,4.02,2.97,1.804,15.3,9.022
Espagne,2019,9.215,84.0,0.1930333651321403,4.41,2.95,1.936,14.1,9.071
Espagne,2020,10.795,78.2,0.1946707017723681,4.58,2.95,1.99,15.5,9.215
Espagne,2021,10.344,78.4,0.1964415029468491,4.48,2.96,1.922,14.9,10.795
Espagne,2022,9.68,79.7,0.1996723176564928,4.3,2.94,1.886,13.0,10.344
Espagne,2023,9.221,80.7,0.2014703809751995,4.39,2.88,1.7469999999999999,12.2,9.68
Estonie,2005,5.294,37.8,0.1656842182728042,3.14,5.38,2.549,8.0,5.336
Estonie,2006,4.973,43.1,0.1687051158658473,3.18,5.55,2.571,5.9,5.294
Estonie,2007,5.184,49.5,0.1728397819676526,3.26,5.48,2.538,4.6,4.973
Estonie,2008,5.957,48.9,0.1745763724933505,3.34,5.63,2.447,5.5,5.184
Estonie,2009,6.844,43.7,0.1742929013131298,3.28,5.37,2.386,13.5,5.957
Estonie,2010,6.594,44.1,0.1743431661529,3.24,5.27,2.328,16.7,6.844
Estonie,2011,6.055,48.7,0.1744957357519968,3.29,5.36,2.308,12.3,6.594
Estonie,2012,6.038,52.5,0.1770419486016253,3.28,5.53,2.316,9.9,6.055
Estonie,2013,6.198,55.3,0.1803194124410873,3.33,5.01,2.328,8.6,6.038
Estonie,2014,6.263,57.7,0.1837509566285332,3.36,5.01,2.335,7.3,6.198
Estonie,2015,6.521,57.6,0.1875843239255592,3.41,4.96,2.33,6.4,6.263
Estonie,2016,6.569,59.2,0.1902246600159277,3.46,4.76,2.351,6.8,6.521
Estonie,2017,6.466,62.3,0.1934229478540781,3.47,4.69,2.379,5.8,6.569
Estonie,2018,6.563,65.4,0.1958725920737333,3.48,4.57,2.362,5.4,6.466
Estonie,2019,6.648,67.8,0.197647982367416,3.47,4.63,2.356,4.5,6.563
Estonie,2020,7.472,68.7,0.2003708118130049,3.48,4.57,2.588,6.9,6.648
Estonie,2021,7.476,71.1,0.2034790702430252,3.43,4.48,2.699,6.2,7.472
Estonie,2022,6.936,75.4,0.2043451099117282,3.47,4.39,2.502,5.6,7.476
Estonie,2023,7.471,73.2,0.202398593145538,3.48,4.17,2.3705,6.4,6.936
Finlande,2005,8.289,142.0,0.1586789624052656,2.85,7.05,1.833,8.4,8.06
Finlande,2006,8.286,140.7,0.1600517925709437,2.87,6.99,1.848,7.7,8.289
Finlande,2007,8.084,143.3,0.1646246746466475,3.0,6.73,1.86,6.9,8.286
Finlande,2008,8.344,144.0,0.1651228453854403,3.07,6.57,1.867,6.4,8.084
Finlande,2009,9.162,140.5,0.1674831787986964,3.13,6.25,1.892,8.2,8.344
Finlande,2010,9.142,139.8,0.1701305091146716,3.18,5.85,1.896,8.4,9.162
Finlande,2011,9.239,141.8,0.1750684057897678,3.26,5.52,1.903,7.8,9.142
Finlande,2012,9.617,142.5,0.1813722595087412,3.26,5.3,1.91,7.9,9.239
Finlande,2013,9.845,142.5,0.1876274491520957,3.33,4.87,1.91,8.3,9.617
Finlande,2014,9.831,140.4,0.1938166702438147,3.38,4.53,1.92,8.7,9.845
Finlande,2015,9.7,138.0,0.1994585647415006,3.41,4.35,1.945,9.4,9.831
Finlande,2016,9.456,137.8,0.2046728559796534,3.42,3.97,1.962,8.9,9.7
Finlande,2017,9.191,137.6,0.2089611009545732,3.47,3.28,1.967,8.7,9.456
Finlande,2018,9.103,137.2,0.2139107911476784,3.49,3.21,1.968,7.5,9.191
Finlande,2019,9.223,136.3,0.2183498887895962,3.57,3.3,1.983,6.8,9.103
Finlande,2020,9.7,140.1,0.2228432452076741,3.61,2.83,2.048,7.7,9.223
Finlande,2021,9.91,135.0,0.2269578930762318,3.5,2.76,2.184,7.7,9.7
Finlande,2022,9.742,132.5,0.2305300004091387,3.33,4.87,2.245,6.8,9.91
Finlande,2023,10.474,127.5,0.2326595937792619,3.33,4.87,1.915,7.2,9.742
France,2005,10.237,126.6,0.1630931802226025,3.34,7.22,1.697,8.9,10.212
France,2006,10.398,124.8,0.1635523912165553,3.33,7.11,1.674,8.8,10.237
France,2007,10.334,123.1,0.163243073127508,3.31,7.06,1.687,8.0,10.398
France,2008,10.513,122.2,0.1638660048722962,3.31,6.9,1.705,7.4,10.334
France,2009,11.291,124.0,0.1649578977391626,3.27,6.66,1.709,9.1,10.513
France,2010,11.224,122.8,0.1660920972681608,3.27,6.43,1.696,9.3,11.291
France,2011,11.176,122.5,0.1673862894285038,3.06,6.36,1.716,9.2,11.224
France,2012,11.337,123.0,0.1713932918744115,3.07,6.34,1.745,9.8,11.176
France,2013,11.478,123.0,0.1756759681922429,3.08,6.27,1.721,10.3,11.337
France,2014,11.579,121.5,0.1796300606444581,3.09,6.2,1.743,10.3,11.478
France,2015,11.5,119.4,0.184089633065788,3.11,6.13,1.787,10.3,11.579
France,2016,11.57,117.7,0.1885813089334645,3.12,6.06,1.801,10.1,11.5
